,Postal code,Borough,Neighborhood,Latitude,Longitude,Average Price
2,M3A,North York,Parkwoods,43.7532586,-79.3296565,2.0
3,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1.6666666666666667
4,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1.3333333333333333
5,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,2.0
6,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,2.0
8,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002,2.0
9,M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001,0.0
11,M3B,North York,Don Mills,43.745905799999996,-79.352188,1.6666666666666667
12,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1.5
13,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,2.0
14,M6B,North York,Glencairn,43.709577,-79.44507259999999,2.0
17,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington,  Cloverdale",43.6509432,-79.55472440000001,1.0
18,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,1.5
20,M3C,North York,Don Mills,43.72589970000001,-79.340923,1.5
21,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,1.0
22,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,2.6666666666666665
23,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,2.0
26,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,1.0
27,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0
30,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,2.5
31,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,2.5
32,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,1.6666666666666667
36,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,1.0
39,M4G,East York,Leaside,43.7090604,-79.3634517,2.0
40,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,1.25
41,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,1.5
45,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,1.5
46,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1.0
47,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1.5
48,M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001,2.0
49,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675,2.0
50,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,1.75
54,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999,1.3333333333333333
55,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1.5
56,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,1.5
57,M4J,East York,East Toronto,43.685347,-79.3381065,2.0
58,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999,0.0
59,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,2.5
63,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,1.5
64,M2K,North York,Bayview Village,43.7869473,-79.385975,1.0
65,M3K,North York,Downsview,43.737473200000004,-79.46476329999999,0.0
66,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,2.0
67,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,2.0
68,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,2.0
